Vessel,Zona,Species,Amount
CARMEN TERE,71,SWO,684.04
CARMEN TERE,71,BSH,3332.17
CARMEN TERE,71,SMA,250.98
PLAYA ZAHARA,71,SWO,520.96
GLACIAL,71,MLS,345.58
GLACIAL,71,YFT,62.52
GLACIAL,71,BSH,250.98
GLACIAL,71,SMA,445.2
CARMEN TERE,77,ALB,71.1
CARMEN TERE,77,MLS,5194.34
CARMEN TERE,77,BET,806.03
CARMEN TERE,77,BLM,228.93
CARMEN TERE,77,BUM,1123.04
CARMEN TERE,77,YFT,881.02
CARMEN TERE,77,BSH,5665.34
GLACIAL,77,MLS,1154.65
GLACIAL,77,YFT,119.65
GLACIAL,77,BSH,2866.15
GLACIAL,77,SMA,31.47
ILLA GAVEIRA ,77,SWO,28441.24
ILLA GAVEIRA ,77,MLS,979.31
ILLA GAVEIRA ,77,BET,176.42
ILLA GAVEIRA ,77,BLM,730.61
ILLA GAVEIRA ,77,YFT,43.54
ILLA GAVEIRA ,77,BSH,12220.53
PLAYA ZAHARA,77,SWO,25331.17
PLAYA ZAHARA,77,BLM,67.13
PLAYA ZAHARA,77,BUM,100.94
PLAYA ZAHARA,77,BSH,1523.11
PLAYA ZAHARA DOS,77,MLS,114.4
PLAYA ZAHARA DOS,77,BLM,68.9
PLAYA ZAHARA DOS,77,BUM,166.4
PLAYA ZAHARA DOS,77,YFT,123.5
PLAYA ZAHARA DOS,77,BSH,58384.00
VIKING BAY,77,MLS,469.15
VIKING BAY,77,BET,112.3
VIKING BAY,77,BSH,3693.68
YANQUE,77,SWO,11506.51
YANQUE,77,MLS,2034.88
YANQUE,77,BSH,10482.46
YANQUE,77,YFT,33.04
CARMEN TERE,81,SWO,329243.42
CARMEN TERE,81,ALB,2791.06
CARMEN TERE,81,MLS,15066.96
CARMEN TERE,81,BET,21375.51
CARMEN TERE,81,BLM,3079.03
CARMEN TERE,81,BUM,10138.80
CARMEN TERE,81,YFT,10844.51
CARMEN TERE,81,BSH,716219.90
CARMEN TERE,81,SMA,33079.17
GLACIAL,81,SWO,356532.36
GLACIAL,81,MLS,31777.06
GLACIAL,81,YFT,6473.99
GLACIAL,81,BSH,1026666.57
GLACIAL,81,SMA,40385.13
ILLA GAVEIRA ,81,SWO,203464.09
ILLA GAVEIRA ,81,MLS,8034.88
ILLA GAVEIRA ,81,BET,1068.59
ILLA GAVEIRA ,81,BLM,4201.59
ILLA GAVEIRA ,81,YFT,386.03
ILLA GAVEIRA ,81,BSH,421233.81
ILLA GAVEIRA ,81,SMA,101663.10
PLAYA ZAHARA,81,SWO,261095.55
PLAYA ZAHARA,81,ALB,3713.67
PLAYA ZAHARA,81,BET,16039.23
PLAYA ZAHARA,81,BLM,18392.39
PLAYA ZAHARA,81,BUM,13495.31
PLAYA ZAHARA,81,YFT,9607.34
PLAYA ZAHARA,81,BSH,620637.91
PLAYA ZAHARA,81,SMA,35955.34
PLAYA ZAHARA DOS,81,SWO,281954.4
PLAYA ZAHARA DOS,81,ALB,4809.45
PLAYA ZAHARA DOS,81,MLS,9609.66
PLAYA ZAHARA DOS,81,BET,15507.84
PLAYA ZAHARA DOS,81,BLM,2056.17
PLAYA ZAHARA DOS,81,BUM,4947.80
PLAYA ZAHARA DOS,81,YFT,11442.45
PLAYA ZAHARA DOS,81,BSH,539715.65
PLAYA ZAHARA DOS,81,SMA,31855.95
VIKING BAY,81,ALB,10053.9
VIKING BAY,81,MLS,37072.27
VIKING BAY,81,BET,54435.93
VIKING BAY,81,BSH,708070.20
VIKING BAY,81,SMA,32382.45
YANQUE,81,SWO,194200.55
YANQUE,81,MLS,26264.15
YANQUE,81,BET,2349.64
YANQUE,81,YFT,2378.75
YANQUE,81,BSH,1077285.43
YANQUE,81,SMA,33060.79